NAME|LATITUDE|LONGITUDE
ND115|48.6261740977|-101.4836092500
ND107|48.6852189936|-102.2225532440
ND221|48.6061792514|-97.7426805163
LS234|48.6605571131|-85.4476762475
MN116|48.6496222227|-96.5768286154
WA102|48.6134079705|-117.7804035250
ND128|48.5707032429|-102.8536704060
LS405|48.6312945424|-89.0912450474
MN224|48.4798858517|-95.6774953724
LS231|48.4710887787|-84.8597619206
MN102|48.5497835339|-96.9008017340
MN225|48.4448618355|-95.8824785446
ND217|48.5140767800|-97.4546437260
MN226|48.4285627105|-95.6667906073
ID154|48.4944736255|-117.1245177490
MN273|48.4837419278|-94.5697471116
LS202|48.5267815322|-89.7467284280
ND127|48.4840696814|-102.9210189740
ND126|48.4798552667|-102.7829544830
MT312|48.3829675466|-115.1891708060
ND110|48.4444777579|-101.7322368910
ND231|48.3982873827|-98.8914212542
ND102|48.3472826260|-103.3994550600
ND101|48.4550429120|-103.6171829740
MN103|48.3857023882|-96.8448895722
ND120|48.4021633191|-101.8219900080
ND130|48.3082669583|-101.6156869890
MN228|48.2994708175|-95.6900984660
MN227|48.3307267760|-95.7510759098
MN230|48.2778076492|-95.4761850255
ND111|48.2815190922|-101.6503606310
ND129|48.2784684714|-101.4513529560
MN229|48.2599221751|-95.6215870699
MN104|48.2747962562|-96.8072211937
WA104|48.2276647884|-117.9677621340
ND204|48.2209097096|-99.0788185530
MT310|48.1902758617|-114.8320446560
ND244|48.2861044537|-98.1259429575
MN274|48.1480162919|-93.7500915165
LS426|48.1960721504|-84.8390880462
MN275|48.1275432750|-93.3469188964
MT309|48.1470613107|-115.5588726030
MT311|48.1759789002|-115.0596453810
ND213|48.1857679499|-98.3659727979
ND219|48.1466925148|-97.4619062921
WA103|48.1138967828|-117.6340832960
ND246|47.9513756151|-99.3683688676
ND124|47.9442981055|-101.7755958060
MN276|47.8447276892|-93.7084459717
ND224|47.8368683640|-98.6521851389
SJ118|47.8462937271|-68.8130069552
ND123|47.8101504337|-103.1021325050
ND228|47.8389201430|-97.6308445292
LS308|47.8982278919|-90.2661775645
ND235|47.7786353010|-97.2067896415
MN277|47.8688314340|-92.8804768313
ND238|47.8536548767|-97.2015935624
SJ119|47.8010995868|-68.6438703526
ND225|47.7735146699|-98.2816806108
ND237|47.8103953489|-99.5045404712
MN235|47.7514743427|-95.5692929676
ID149|47.7551795219|-116.1467434200
ND222|47.6942181841|-99.9121701315
WA105|47.8236391451|-118.6662880400
MN107|47.6833175861|-96.5568747876
LS110|47.6952007461|-90.8583953414
ND229|47.5997620198|-97.4469738689
SJ121|47.6292869312|-68.6493766401
MN237|47.5885176657|-95.2771306180
MN278|47.5469273851|-92.9299088585
MN121|47.5228045754|-96.6728135042
SJ126|47.5451164525|-69.4240283518
LS420|47.6154156242|-84.8308704799
ND419|47.4945901691|-97.2022562464
ND223|47.5659635997|-99.1102908628
ND401|47.4708496131|-99.5223817122
ID151|47.4741399606|-116.2163942720
WA101|47.4458200770|-117.2334409590
SJ132|47.4797830468|-68.6636331417
ND403|47.4470692665|-98.5420218925
LS120|47.4610449267|-91.3129973824
SJ101|47.4167377619|-67.0958938387
MN240|47.3889970079|-95.9778447117
ND303|47.3375503995|-102.4837494550
ND309|47.3636596908|-101.9229089060
SJ106|47.3088069198|-67.9282443183
SJ134|47.3317309020|-68.1483167521
SJ129|47.3059799796|-68.7226933267
LS385|47.2902820180|-88.2912475145
ND302|47.2924604439|-102.7660445820
ND301|47.2745517768|-103.2154037060
SJ105|47.2486373384|-67.7502481805
ND402|47.2490056955|-98.9805744642
SJ103|47.2501907151|-67.1460301932
ND324|47.1162889064|-101.2567053960
ND305|47.2050528795|-101.4160603350
SJ131|47.1674457585|-68.6087576001
MN260|47.1618798646|-93.3260012300
SJ130|47.1034613017|-68.9447923782
MT306|47.0953709208|-113.5262039910
MN259|47.1001162245|-93.8408703210
SJ133|47.1167095950|-68.2730903874
SJ104|47.1005483740|-67.2685576794
ND323|47.0970225668|-100.7818198850
LS195|47.0449051005|-90.4202943526
ND307|47.1346659048|-101.7923500260
MN245|46.9167334621|-95.1527085278
SJ107|46.9226970282|-67.2672581775
MN244|46.8991896929|-95.3406684705
ND321|46.8679845015|-101.5992242660
SJ138|46.9220767167|-68.0258996651
SJ108|46.8739283026|-67.5034257976
MN243|46.8452658724|-95.6395807895
SJ109|46.8997721259|-67.7331073237
ND434|46.8443396829|-97.8770262262
LS193|46.8165375589|-90.6865847039
SJ144|46.8347041552|-70.1459890314
SJ135|46.8610373544|-68.5030301201
MN246|46.7571796584|-95.5062881760
ND325|46.8219794938|-103.9909080620
ND422|46.8110856436|-98.9310653319
ND322|46.7935878976|-101.5165945790
ID144|46.7698596434|-116.6607360250
ND311|46.7897622689|-103.1847494020
MT307|46.7674787786|-113.0686763920
SJ136|46.7069916665|-68.4877210999
ND412|46.7044209364|-97.0766577431
ND316|46.7237099729|-102.7824788420
ID143|46.8086859046|-116.4156346160
ND319|46.7284644115|-101.8589451250
LS410|46.7218819198|-84.3575299308
ND423|46.7090249016|-98.7034185787
SJ150|46.6690126951|-68.8277304593
ND428|46.6252758354|-97.2292388981
SJ139|46.6435998054|-68.2808930977
SJ152|46.7265448307|-69.3578847896
MN261|46.6041508651|-93.4594612342
SJ151|46.6155980542|-69.5920014704
SJ110|46.6416135755|-67.8725360560
ND424|46.5248409552|-98.5799047162
ND313|46.5224181484|-103.0298909290
ID145|46.6519248798|-116.8108143870
SJ111|46.5463782752|-67.5744905647
SJ145|46.5590864894|-70.2561128282
MN123|46.6136262330|-96.7411197655
ND312|46.5567156138|-103.2026290680
MT304|46.5368404469|-112.5451594800
SJ146|46.5285223592|-70.1636693410
SJ112|46.4820798220|-67.4405682668
ND425|46.5353442728|-98.0713186701
ND410|46.5209238914|-98.3328590872
SJ140|46.5318903723|-68.3536162206
ND413|46.5279425303|-96.9125267894
ND320|46.4973585303|-101.8332831330
SJ141|46.4132749862|-68.4663127553
MN111|46.5281871201|-96.4861695192
ND315|46.4081136719|-102.7027191440
ND417|46.4487898067|-97.3970736598
ND427|46.3982866807|-97.7950478094
ND318|46.3757663848|-102.2247857130
ND426|46.3584594057|-98.5987635410
SJ147|46.3736234105|-70.2851092513
MI161|46.4073973613|-87.7720983268
SJ114|46.3549877715|-66.8215378270
MN112|46.3622687141|-96.5490647514
ND443|46.3688595973|-96.7845508238
MN127|46.3277827950|-96.4697566981
LS372|46.2885791421|-89.3434341486
ND430|46.3221783764|-96.9908241830
ND415|46.2559283015|-96.9742523434
MT303|46.3451289866|-112.8728292280
WA107|46.3365840789|-121.1557274900
SJ116|46.3300832256|-67.8482809170
WA106|46.2285345012|-121.0018645680
ND326|46.2465655599|-103.7936190210
WI101|46.2516373305|-92.1601232629
ND314|46.2853950798|-103.3707070540
SJ142|46.3237263497|-68.3624651845
SJ143|46.2486004535|-69.3615570884
MN249|46.2451755790|-95.0694305840
MI151|46.2606176235|-84.3589277345
WI112|46.1588944732|-90.7631613028
ND439|46.2067588017|-96.8424187674
ND437|46.2021512751|-97.1419945266
SJ153|46.1479802125|-67.6617815307
ND409|46.2118127218|-98.0827465952
SJ148|46.1671182767|-70.3739227341
SJ113|46.2069060740|-67.2693666148
MI156|46.1053275901|-85.7488026054
MN266|46.1651475342|-92.3285439185
ND436|46.0943342724|-97.3425350387
ND408|46.1126885328|-98.5707912056
MN263|46.0730476139|-93.7996113422
ND438|46.1215766345|-96.9458661852
WI111|46.1282076834|-91.3447558684
MT308|46.1814271377|-113.4780473540
SJ115|46.1368293762|-66.5995255243
MN265|46.0169557852|-92.7715468576
SJ117|45.9079097440|-67.4628742516
MT301|45.9050429735|-112.7154856060
SD207|45.8322262242|-98.6412525950
ID128|45.9077097115|-115.6329127420
ID126|45.8857098947|-115.4449028880
MN303|45.8773818977|-96.2147115172
SD102|45.8397261260|-102.1660578230
SD106|45.8538571890|-101.3170106660
MN407|45.8272006572|-93.6642668715
MT404|45.7364096921|-107.7306982880
SD202|45.7866322440|-97.8386111800
MT405|45.7984302726|-107.6166380430
SD211|45.7796405787|-98.9214602308
OR131|45.7558892965|-118.0478209360
WI113|45.6809511547|-91.3760017963
MT406|45.6989320966|-107.6263698820
SD209|45.7544814653|-97.0272701166
SD212|45.6537717246|-96.9960260051
ID127|45.7153716203|-115.7110625780
MT413|45.7110250975|-106.6659789880
OR132|45.6559215623|-118.2673434920
MT410|45.6752863441|-107.5095495700
MT419|45.7158933542|-104.3821187090
MT414|45.6227181978|-106.5073182930
MN408|45.5696562238|-93.3133598102
MT407|45.6189092235|-107.6666033690
MN255|45.6412443288|-94.9605636634
SD107|45.6048401710|-103.9801500060
SD208|45.6021403448|-98.1064531433
MT412|45.5918416942|-106.8534661000
MT411|45.5336831977|-107.2067484050
WI104|45.5200547821|-92.6573703441
MT415|45.5664371758|-105.5413874040
MT408|45.5112730917|-107.7076637760
WI114|45.4814960548|-90.9479122465
SD201|45.5193789483|-98.9300428992
WI209|45.4986929056|-88.6829208129
OR133|45.5576998373|-118.4532193490
OR134|45.4483887323|-118.2100564820
WI105|45.3905709085|-92.2563356149
SD105|45.3782488498|-101.6322182200
MI143|45.3700085353|-84.4528781649
MT409|45.4128902121|-107.3996741520
MN334|45.2875492759|-95.8295727138
MT417|45.3400090968|-105.1969689720
SD101|45.4158041887|-103.5370927420
SD210|45.3296552339|-96.8520218458
WI117|45.2588419360|-91.6243248607
OR144|45.2083545929|-118.5957302530
WI115|45.1578791340|-90.9583877105
MN258|45.2356289614|-94.5523897151
MT420|45.2194387950|-107.3916933710
MN336|45.1140606455|-95.7465548922
MT416|45.2512390615|-105.3470181510
SD108|45.1636059698|-103.2403670370
WI211|45.1378759409|-88.0139980704
OT270|45.0766366563|-78.5512374652
SD103|45.0287737292|-102.2430964550
MT418|45.1167875463|-104.3610978150
OR142|45.0645343393|-118.8136030790
ME114|45.0954830796|-69.7894164012
MN305|45.0658935858|-96.2549108838
OR143|45.0499616413|-118.4596121560
WI303|44.9050719642|-91.5685045691
ID117|44.9427115220|-116.3798012860
OT257|44.9236692738|-75.2280549524
WI304|44.8799425007|-91.8096814771
ID116|44.8749048654|-116.5759713480
OR140|44.8847268894|-119.0149876910
ME216|44.9217928061|-68.8717272879
MN306|44.8630277121|-96.2031224953
WI401|44.8386067473|-89.4682856072
MN307|44.7847007445|-96.1232968033
WI436|44.8071343635|-88.1838270525
OT265|44.8295518003|-77.6544440879
NY101|44.8663502932|-73.5353417210
MN327|44.7513660505|-94.8023629339
NY102|44.8289491304|-73.6159715082
WI435|44.7702239363|-87.5053989622
OR141|44.7695228375|-118.6552483000
